KAMIK,GREG,PEUR,PREV,
9,17,20,28,
9,16,20,28,
9,16,19,29,
9,17,19,29,
10,17,19,29,
10,17,18,29,
10,17,18,29,
9,16,18,30,
9,16,18,29,
7,16,18,29,
7,16,18,29,
8,15,18,29,
8,15,18,29,
8,15,18,28,
8,14,19,28,
8,12,20,28,
9,13,20,28,
10,12,20,27,
10,12,19,27,
10,13,19,27,
10,11,20,27,
10,11,19,28,
10,12,19,28,
11,12,19,29,
10,12,18,28,
11,12,18,29,
11,13,19,30,
12,11,20,30,
12,12,21,31,
12,11,21,31,
13,12,22,32,
13,12,22,31,
13,12,22,31,
12,11,22,32,
12,11,22,33,
11,11,22,32,
12,12,22,32,
12,13,22,31,
12,12,21,30,
13,12,20,29,
13,13,19,30,
13,13,20,30,
13,13,21,28,
13,11,21,27,
13,11,22,26,
13,11,22,26,
13,12,23,26,
13,12,23,26,
13,11,22,26,
13,11,22,26,
14,11,23,26,
13,12,23,26,
12,11,23,27,
12,12,24,26,
13,12,24,27,
13,12,24,27,
13,12,24,27,
13,12,23,27,
13,12,23,27,
12,13,23,27,
11,13,23,27,
10,14,23,27,
10,12,23,28,
11,11,23,28,
10,10,24,28,
10,10,24,27,
9,10,23,27,
9,10,22,28,
10,9,22,27,
8,9,22,27,
7,10,22,27,
7,10,21,28,
7,10,21,26,
7,9,21,26,
7,9,21,25,
7,9,21,25,
7,9,20,25,
8,9,19,25,
8,9,19,25,
8,9,19,25,
8,8,19,25,
7,8,19,26,
7,8,18,26,
7,9,18,27,
7,8,19,27,
7,8,19,28,
8,9,19,29,
8,9,19,28,
9,10,19,28,
9,10,19,28,
9,10,19,27,
9,11,20,27,
10,12,20,27,
9,12,20,27,
8,11,20,27,
8,10,20,27,
8,10,19,26,
8,9,19,26,
8,9,19,25,
9,9,19,24,
8,9,20,24,
8,9,19,24,
8,9,19,24,
8,8,18,24,
8,8,18,24,
8,7,18,27,
8,7,17,27,
7,6,17,28,
7,7,18,28,
8,7,18,28,
7,7,19,27,
7,7,19,27,
8,8,19,27,
8,9,19,27,
8,9,20,27,
8,9,20,28,
7,8,19,28,
8,7,19,28,
8,7,19,26,
9,7,20,26,
9,7,18,26,
10,7,18,26,
10,8,18,26,
11,8,19,27,
10,8,19,27,
10,8,20,27,
10,8,21,27,
10,8,22,27,
10,8,22,27,
10,9,22,27,
