KAMIK,GREG,PEUR,PREV,
5,5,5,5,
5,5,6,5,
5,6,7,6,
5,6,7,6,
6,6,7,6,
6,7,7,7,
6,7,7,7,
7,7,7,7,
7,8,7,8,
6,8,7,8,
6,8,7,8,
6,8,7,9,
7,8,7,9,
8,9,7,9,
7,9,8,9,
8,10,9,9,
8,9,9,9,
9,9,9,9,
8,10,8,9,
8,10,8,10,
9,11,8,9,
9,11,9,10,
10,12,9,10,
10,13,9,11,
9,14,9,11,
10,14,9,10,
10,15,9,10,
9,14,10,10,
10,15,10,10,
10,16,10,10,
11,16,11,12,
11,16,11,12,
12,17,11,12,
12,17,11,13,
11,17,11,13,
12,18,11,13,
12,18,11,12,
13,19,11,12,
13,19,12,12,
11,18,13,13,
10,18,13,12,
10,19,14,13,
10,20,14,13,
10,20,14,14,
10,20,14,14,
9,21,14,14,
9,21,15,14,
9,22,15,14,
10,22,16,14,
10,22,15,14,
11,23,15,14,
11,24,15,15,
10,24,16,15,
10,23,16,15,
9,23,16,15,
10,21,16,15,
10,22,16,16,
11,22,16,16,
11,22,16,17,
11,23,16,17,
11,23,16,17,
11,23,17,17,
12,23,17,16,
12,24,17,16,
11,24,16,16,
11,24,16,16,
11,24,17,17,
12,25,17,17,
10,25,18,18,
11,26,19,18,
12,26,19,18,
12,27,18,18,
12,27,18,18,
13,26,18,18,
14,26,19,18,
14,25,19,18,
14,25,19,18,
14,25,19,18,
15,25,19,18,
15,25,19,19,
14,25,19,18,
14,25,19,18,
14,26,19,18,
14,26,19,18,
15,26,19,17,
14,26,19,18,
14,25,20,18,
14,24,21,18,
15,24,21,17,
16,24,20,18,
17,25,20,19,
16,25,19,18,
17,25,19,18,
16,24,19,18,
15,25,19,17,
14,24,20,16,
14,24,20,16,
13,24,20,16,
13,25,21,17,
13,25,21,17,
13,25,21,17,
14,26,21,16,
14,26,22,16,
15,27,23,16,
15,26,24,17,
15,27,23,18,
14,26,23,17,
13,26,23,17,
13,25,22,17,
13,25,23,18,
13,25,23,18,
13,24,23,19,
12,25,24,19,
12,24,24,19,
12,24,25,19,
12,23,26,18,
12,23,26,19,
12,23,24,19,
13,24,24,19,
13,24,24,19,
13,24,23,19,
13,24,23,19,
12,24,23,18,
12,24,24,19,
13,24,24,18,
12,24,24,19,
13,24,25,18,
14,24,25,18,
15,25,25,18,
15,26,24,18,
16,27,24,19,
16,27,23,19,
16,24,23,20,
16,23,23,19,
16,22,23,20,
17,22,24,20,
16,23,25,20,
16,24,25,20,
15,25,24,21,
14,24,24,20,
14,24,24,21,
14,23,24,21,
13,24,24,21,
13,25,24,21,
13,25,24,21,
13,26,23,21,
13,26,23,21,
13,26,23,21,
13,26,23,20,
13,26,23,20,
14,26,23,20,
15,26,24,20,
15,26,24,20,
16,26,23,19,
16,27,24,19,
15,28,24,18,
15,28,25,18,
16,28,25,18,
16,28,26,17,
16,28,25,18,
16,29,25,18,
17,29,26,18,
16,29,27,18,
16,29,27,18,
15,29,28,18,
15,29,28,18,
14,29,28,17,
15,28,28,17,
15,28,27,17,
16,27,27,16,
17,27,27,16,
16,27,26,16,
16,27,26,16,
16,27,25,16,
15,27,25,16,
15,27,25,16,
16,27,26,16,
16,26,26,16,
16,27,27,16,
17,27,26,17,
17,27,26,17,
17,28,26,16,
15,27,27,16,
15,20,27,16,
13,18,28,16,
13,16,28,16,
13,15,26,16,
13,15,26,17,
13,14,26,17,
13,13,26,17,
14,13,26,17,
14,13,27,16,
14,13,27,16,
15,13,26,17,
15,13,27,17,
15,14,26,18,
15,14,27,18,
16,15,28,18,
17,14,27,19,
17,14,27,19,
16,15,28,20,
17,13,28,20,
17,14,28,21,
16,14,28,22,
16,14,27,22,
16,15,28,23,
17,14,28,23,
16,15,29,24,
16,15,29,24,
15,15,29,24,
15,15,29,24,
15,16,28,24,
15,14,28,25,
15,14,28,25,
14,14,28,25,
14,14,28,25,
14,14,28,25,
13,15,28,24,
14,13,28,23,
14,13,28,23,
15,13,28,24,
16,13,28,24,
16,12,27,24,
16,12,28,25,
16,11,27,25,
15,12,27,25,
15,13,26,26,
15,13,25,27,
16,13,27,27,
16,13,27,26,
16,13,27,26,
17,14,27,28,
17,14,26,27,
17,14,25,28,
16,14,25,27,
16,14,25,27,
15,14,25,27,
15,14,25,27,
16,15,25,27,
15,13,26,27,
16,14,25,27,
16,13,24,27,
16,13,24,26,
16,13,25,26,
15,13,25,27,
13,12,26,27,
14,13,26,26,
15,13,26,26,
15,13,26,26,
15,13,26,26,
15,13,26,25,
15,14,24,25,
15,14,24,25,
16,14,24,25,
16,14,24,25,
15,14,24,25,
15,14,25,25,
15,14,24,24,
15,15,24,24,
16,15,25,24,
17,15,25,24,
16,13,24,25,
17,13,24,26,
18,13,24,26,
18,13,24,26,
18,13,25,27,
18,14,25,27,
18,14,25,27,
18,14,26,27,
18,15,26,27,
18,15,26,26,
16,15,26,26,
17,15,26,26,
16,15,26,26,
17,16,26,27,
16,16,26,27,
16,16,25,27,
16,16,24,26,
17,17,25,27,
17,18,26,27,
16,19,26,28,
17,19,26,28,
16,18,26,29,
16,18,26,29,
17,18,26,29,
16,18,26,29,
16,18,25,29,
16,18,25,28,
16,18,25,28,
16,18,25,27,
16,19,25,27,
16,19,26,27,
14,18,25,27,
14,18,25,28,
14,18,25,28,
14,19,25,28,
12,17,25,28,
12,17,25,29,
12,17,25,29,
12,17,26,29,
11,17,27,30,
11,16,27,30,
12,16,27,31,
12,16,26,31,
12,16,27,32,
13,16,27,31,
13,16,27,32,
12,18,27,31,
13,19,27,31,
13,18,27,32,
13,17,27,32,
13,18,27,33,
11,18,27,33,
11,18,27,34,
11,17,26,33,
11,16,26,33,
12,16,26,34,
11,15,27,34,
11,15,27,33,
11,15,27,32,
11,15,28,32,
10,15,28,32,
9,16,28,31,
10,15,29,31,
11,15,30,31,
10,16,31,32,
10,16,30,32,
10,16,30,32,
10,15,30,32,
10,15,30,31,
10,15,30,30,
10,15,31,30,
9,15,32,30,
9,14,32,30,
9,14,32,29,
8,14,32,30,
8,14,32,30,
9,14,32,31,
9,15,32,31,
9,14,32,29,
9,14,32,28,
9,14,33,26,
9,14,33,25,
8,14,34,24,
8,14,35,24,
7,14,36,24,
7,13,36,25,
8,13,37,24,
8,13,37,25,
8,12,38,25,
7,12,39,25,
7,11,40,25,
7,12,41,25,
7,12,42,25,
8,11,42,26,
9,11,43,26,
9,12,43,26,
9,13,43,27,
9,13,43,27,
10,13,44,27,
11,13,44,26,
11,13,43,28,
9,11,43,28,
9,11,42,28,
9,11,41,28,
9,12,41,28,
10,12,40,28,
10,12,40,28,
10,12,38,28,
10,13,37,29,
9,13,36,30,
8,12,35,30,
9,12,35,31,
9,13,35,32,
9,14,34,32,
10,13,34,32,
10,14,34,33,
11,15,35,34,
9,12,35,33,
6,12,35,33,
6,13,36,33,
6,13,37,33,
6,13,35,34,
6,13,35,35,
6,11,34,35,
6,12,34,34,
7,12,34,35,
7,12,35,34,
7,12,35,34,
7,13,34,33,
7,13,34,32,
7,13,33,32,
7,12,33,32,
7,12,33,32,
7,13,34,32,
7,12,35,32,
7,12,36,33,
7,12,35,33,
7,12,35,33,
7,13,33,33,
7,13,33,34,
7,13,33,34,
7,14,33,33,
6,14,30,33,
7,14,30,32,
7,15,30,32,
7,13,30,32,
7,13,30,32,
7,13,31,33,
7,13,30,33,
8,14,32,32,
8,13,32,31,
7,13,32,31,
7,13,32,31,
7,13,31,32,
7,13,30,32,
7,13,30,33,
7,13,30,33,
7,13,30,33,
7,13,30,32,
7,13,29,33,
8,13,30,33,
9,14,30,34,
8,14,29,32,
8,15,30,32,
9,15,30,33,
9,15,29,33,
9,15,29,34,
8,15,28,33,
8,15,28,33,
9,15,27,32,
9,15,28,32,
7,14,28,31,
7,14,29,32,
8,13,29,32,
8,12,29,30,
8,12,29,30,
8,11,29,29,
8,11,30,29,
8,12,30,29,
8,13,29,30,
8,12,30,29,
8,12,30,28,
8,12,30,27,
8,12,30,28,
9,12,30,29,
9,12,30,29,
8,11,29,29,
8,11,29,30,
9,11,28,30,
8,12,28,30,
8,12,28,29,
8,12,28,30,
7,12,26,30,
7,12,26,29,
7,11,26,29,
7,11,26,29,
7,11,25,29,
9,10,26,28,
10,10,26,28,
10,10,26,28,
10,11,26,28,
10,12,26,26,
9,12,27,26,
9,11,27,28,
9,11,27,28,
9,11,27,28,
9,10,27,28,
9,11,28,28,
10,10,28,29,
10,10,28,29,
10,10,28,30,
10,11,29,31,
11,11,28,30,
11,12,28,30,
12,11,27,30,
12,12,27,30,
13,12,27,30,
13,12,27,31,
13,12,27,32,
12,11,27,33,
12,11,27,32,
12,10,27,32,
11,10,27,31,
10,10,29,32,
10,10,30,31,
10,10,29,32,
10,10,30,32,
8,10,30,33,
8,10,30,32,
8,10,29,32,
8,10,30,32,
8,10,30,31,
8,10,30,31,
8,11,30,31,
7,11,30,30,
8,10,30,30,
8,11,31,30,
9,10,30,32,
9,10,29,33,
10,8,30,33,
9,8,30,31,
8,9,31,29,
9,7,32,29,
9,7,32,30,
10,8,33,30,
11,9,34,30,
11,8,34,29,
11,9,35,26,
10,9,36,26,
11,8,36,27,
11,9,36,27,
10,8,36,28,
10,9,35,28,
10,9,34,27,
10,9,35,28,
10,9,35,28,
10,9,34,29,
10,9,34,28,
10,9,35,28,
10,9,35,27,
9,9,35,26,
9,9,34,26,
9,9,34,26,
9,10,33,27,
8,9,34,26,
7,9,35,26,
8,9,35,26,
8,9,34,26,
8,10,34,27,
7,10,33,27,
7,10,34,27,
7,10,34,27,
7,10,32,27,
7,9,33,28,
7,9,33,28,
7,9,33,28,
6,9,33,28,
6,10,33,28,
6,9,35,29,
7,9,35,30,
7,9,35,30,
8,9,35,30,
8,10,35,30,
8,11,35,29,
8,11,35,28,
7,11,35,28,
7,11,35,27,
6,10,35,27,
6,9,34,28,
7,9,35,28,
7,8,35,28,
7,9,35,28,
8,8,35,28,
8,8,35,27,
8,8,37,27,
9,7,37,25,
9,7,37,25,
9,7,37,24,
9,8,36,24,
9,6,36,24,
10,6,36,23,
10,6,35,23,
11,6,35,23,
11,6,36,23,
11,6,36,22,
12,6,37,22,
12,6,36,22,
13,6,34,22,
12,7,34,23,
12,7,34,22,
13,7,35,22,
12,7,35,22,
11,7,34,22,
10,7,33,22,
10,7,33,20,
10,7,33,20,
9,7,33,20,
10,7,34,20,
9,7,34,20,
6,7,34,18,
5,7,34,18,
5,7,34,18,
5,8,32,18,
5,8,32,19,
6,9,32,19,
6,10,33,19,
6,10,33,19,
7,10,33,20,
8,10,33,20,
9,10,34,20,
8,10,34,20,
8,10,34,20,
8,9,33,20,
8,8,34,20,
9,8,35,21,
10,8,35,21,
10,9,36,21,
11,10,37,21,
10,9,37,22,
8,10,37,22,
8,10,37,22,
8,10,37,21,
7,10,37,21,
7,11,36,21,
6,10,36,21,
6,11,36,20,
7,10,36,20,
8,10,35,20,
8,10,36,20,
8,10,37,20,
8,10,35,20,
8,10,36,20,
8,10,36,20,
8,10,36,20,
8,10,35,20,
7,10,33,20,
7,10,33,18,
7,10,33,17,
8,10,34,17,
9,10,35,17,
8,10,34,17,
8,10,33,18,
8,11,33,18,
8,11,34,18,
8,11,35,18,
8,10,34,18,
8,10,34,19,
8,10,35,19,
8,9,36,19,
7,10,34,19,
7,11,34,19,
